ID	ProcessClass_ID	TransferClass_ID	Equipment_ID	SignalName	TagAddress	ValueType	Direction	Description	LastSaved	ConfiguredBy
40	20	NULL	70	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:18:53.573	TPMDB
41	20	NULL	77	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:01.340	TPMDB
42	20	NULL	77	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:19:01.340	TPMDB
43	20	NULL	77	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:19:01.340	TPMDB
44	20	NULL	77	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:19:01.340	TPMDB
45	20	NULL	77	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:19:01.340	TPMDB
46	20	NULL	84	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:08.327	TPMDB
47	20	NULL	84	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:19:08.327	TPMDB
48	20	NULL	84	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:19:08.327	TPMDB
49	20	NULL	84	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:19:08.327	TPMDB
50	20	NULL	84	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:19:08.327	TPMDB
51	20	NULL	91	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:12.997	TPMDB
52	20	NULL	91	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:19:12.997	TPMDB
53	20	NULL	91	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:19:12.997	TPMDB
54	20	NULL	91	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:19:12.997	TPMDB
55	20	NULL	91	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:19:12.997	TPMDB
56	20	NULL	98	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:17.783	TPMDB
57	20	NULL	98	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:19:17.783	TPMDB
58	20	NULL	98	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:19:17.783	TPMDB
59	20	NULL	98	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:19:17.783	TPMDB
60	20	NULL	98	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:19:17.783	TPMDB
61	11	NULL	144	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:25:19.693	TPMDB
62	11	NULL	144	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:25:19.693	TPMDB
63	11	NULL	144	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:25:19.693	TPMDB
64	11	NULL	144	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:25:19.693	TPMDB
65	11	NULL	144	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:25:19.693	TPMDB
66	11	NULL	145	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:25:33.027	TPMDB
67	11	NULL	145	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:25:33.027	TPMDB
68	11	NULL	145	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:25:33.027	TPMDB
69	11	NULL	145	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:25:33.027	TPMDB
70	11	NULL	145	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:25:33.027	TPMDB
71	9	NULL	146	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:26:31.700	TPMDB
72	9	NULL	146	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:26:31.700	TPMDB
73	9	NULL	146	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:26:31.700	TPMDB
74	9	NULL	146	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:26:31.700	TPMDB
75	9	NULL	146	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:26:31.700	TPMDB
76	9	NULL	147	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:26:43.460	TPMDB
77	9	NULL	147	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:26:43.460	TPMDB
78	9	NULL	147	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:26:43.460	TPMDB
79	9	NULL	147	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:26:43.460	TPMDB
80	9	NULL	147	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:26:43.460	TPMDB
81	13	NULL	150	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:29:11.963	TPMDB
82	13	NULL	150	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:29:11.963	TPMDB
83	13	NULL	150	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:29:11.963	TPMDB
84	13	NULL	150	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:29:11.963	TPMDB
85	13	NULL	150	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:29:11.963	TPMDB
86	13	NULL	155	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:29:20.600	TPMDB
