ID	ProcessClass_ID	TransferClass_ID	Equipment_ID	SignalName	TagAddress	ValueType	Direction	Description	LastSaved	ConfiguredBy
200	19	NULL	250	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:54:00.190	TPMDB
201	15	NULL	148	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:56:18.980	TPMDB
202	15	NULL	148	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:56:18.980	TPMDB
203	15	NULL	148	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:56:18.980	TPMDB
204	15	NULL	148	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:56:18.980	TPMDB
205	15	NULL	148	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:56:18.980	TPMDB
206	15	NULL	149	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-25 17:56:18.993	TPMDB
207	15	NULL	149	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-25 17:56:18.993	TPMDB
208	15	NULL	149	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-25 17:56:18.993	TPMDB
209	15	NULL	149	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-25 17:56:18.993	TPMDB
210	15	NULL	149	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-25 17:56:18.993	TPMDB
211	30	NULL	426	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-28 14:54:16.530	TPMDB
212	30	NULL	426	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-28 14:54:16.530	TPMDB
213	30	NULL	426	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-28 14:54:16.530	TPMDB
214	30	NULL	426	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-28 14:54:16.530	TPMDB
215	30	NULL	426	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-28 14:54:16.530	TPMDB
221	17	NULL	187	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-03-03 13:40:13.647	TPMDB
222	17	NULL	187	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-03-03 13:40:13.647	TPMDB
223	17	NULL	187	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-03-03 13:40:13.647	TPMDB
224	17	NULL	187	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-03-03 13:40:13.647	TPMDB
225	17	NULL	187	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-03-03 13:40:13.647	TPMDB
226	17	NULL	191	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-03-03 13:40:13.647	TPMDB
227	17	NULL	191	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-03-03 13:40:13.647	TPMDB
228	17	NULL	191	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-03-03 13:40:13.647	TPMDB
229	17	NULL	191	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-03-03 13:40:13.647	TPMDB
230	17	NULL	191	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-03-03 13:40:13.647	TPMDB
231	17	NULL	195	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-03-03 13:40:13.647	TPMDB
232	17	NULL	195	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-03-03 13:40:13.647	TPMDB
233	17	NULL	195	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-03-03 13:40:13.647	TPMDB
234	17	NULL	195	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-03-03 13:40:13.647	TPMDB
235	17	NULL	195	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-03-03 13:40:13.647	TPMDB
236	4	NULL	160	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-04-19 16:52:02.550	TPMDB
237	4	NULL	160	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-04-19 16:52:02.550	TPMDB
238	4	NULL	160	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-04-19 16:52:02.550	TPMDB
239	4	NULL	160	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-04-19 16:52:02.550	TPMDB
240	4	NULL	160	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-04-19 16:52:02.550	TPMDB
241	34	NULL	555	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-09-27 11:46:55.390	TPMDB
242	34	NULL	555	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-09-27 11:46:55.390	TPMDB
243	34	NULL	555	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-09-27 11:46:55.390	TPMDB
244	34	NULL	555	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-09-27 11:46:55.390	TPMDB
245	34	NULL	555	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-09-27 11:46:55.407	TPMDB
246	34	NULL	556	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-09-27 11:47:08.250	TPMDB
247	34	NULL	556	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-09-27 11:47:08.250	TPMDB
248	34	NULL	556	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-09-27 11:47:08.250	TPMDB
249	34	NULL	556	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-09-27 11:47:08.250	TPMDB
250	34	NULL	556	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-09-27 11:47:08.250	TPMDB
