ID	TPIBK_RecipeParameterData_ID	TPIBK_RecipeBatchData_ID	Value	CustomEU
1045	74	1880	250	Gal
1046	75	1880	400	Lbs
1047	73	1880	1999	
1048	72	1880	500	Gal
1050	44	1882	1	Gal
1051	51	1883	35	
1052	48	1884	55	Lbs
1053	74	1885	0	Gal
1054	75	1885	0	Lbs
1056	76	1887	0	Gal
1057	74	1888	0	Gal
1058	75	1888	0	Lbs
1059	44	1892	1	Gal
1060	60	1895	0	Gal
1061	67	1895	0	
1062	60	1897	2222	Gal
1063	67	1897	1	
1064	60	1898	0	Gal
1065	67	1898	0	
1066	97	1899	0	s
1067	57	1883	33	Lbs
1068	68	1907	4	
1069	78	1907	0	
1070	79	1908	1	
1071	80	1908	1.235	
1072	81	1908	5500	Gal
1073	82	1908	12	Brix
1074	60	1910	2000	Gal
1075	67	1910	0	
1076	44	1914	400	Gal
1077	49	1917	1	Gal
1079	48	1920	45	Lbs
1080	49	1921	1	Gal
1082	74	1928	250	Gal
1083	75	1928	400	Lbs
1084	73	1928	1999	
1085	72	1928	0	Gal
1087	44	1930	1	Gal
1088	51	1931	35	
1089	57	1931	33	Lbs
1090	48	1932	55	Lbs
1091	74	1933	0	Gal
1092	75	1933	0	Lbs
1094	76	1935	0	Gal
1095	74	1936	0	Gal
1096	75	1936	0	Lbs
1097	44	1940	1	Gal
1098	60	1943	0	Gal
1099	67	1943	0	
1100	60	1945	2222	Gal
1101	67	1945	1	
1102	60	1946	0	Gal
1103	67	1946	0	
1104	97	1947	0	s
1105	57	1954	0	Lbs
1106	58	1955	0	Gal
1107	59	1955	450	
1108	59	1956	0	
1109	65	1956	0	
1110	58	1957	333	Gal
1111	68	1960	4	
1112	78	1960	0	
1113	79	1961	1	
1114	80	1961	1.235	
1115	81	1961	5500	Gal
1116	82	1961	12	Brix
1117	60	1963	2000	Gal
1118	67	1963	0	
1119	44	1967	400	Gal
1120	49	1970	1	Gal
1122	48	1973	45	Lbs
1123	49	1974	1	Gal
1125	74	1981	250	Gal
1126	75	1981	400	Lbs
1127	73	1981	1999	
1128	72	1981	0	Gal
1130	44	1983	1	Gal
1131	51	1984	35	
1132	57	1984	33	Lbs
1133	48	1985	55	Lbs
1134	74	1986	0	Gal
1135	75	1986	0	Lbs
1137	76	1988	0	Gal
1138	74	1989	0	Gal
1139	75	1989	0	Lbs
1140	44	1993	1	Gal
1141	60	1996	0	Gal
1142	67	1996	0	
1143	60	1998	2222	Gal
1144	67	1998	1	
1145	60	1999	0	Gal
1146	67	1999	0	
1147	97	2000	0	s
1148	57	2007	0	Lbs
1149	58	2008	0	Gal
1150	59	2008	450	
1151	59	2009	0	
1152	65	2009	0	
1153	58	2010	100	Gal
1154	68	2013	4	
1155	78	2013	0	
1156	79	2014	1	
1157	80	2014	1.235	
1158	81	2014	5500	Gal
1159	82	2014	12	Brix
1160	60	2016	2000	Gal
1161	67	2016	0	
1162	44	2020	400	Gal
1163	49	2023	1	Gal
1165	48	2026	45	Lbs
1166	49	2027	1	Gal
1168	74	2034	250	Gal
1169	75	2034	400	Lbs
1170	73	2034	1999	
1171	72	2034	0	Gal
1173	44	2036	1	Gal
1174	51	2037	35	
1175	57	2037	33	Lbs
1176	48	2038	55	Lbs
1177	74	2039	0	Gal
1178	75	2039	0	Lbs
1180	76	2041	0	Gal
1181	74	2042	0	Gal
1182	75	2042	0	Lbs
1183	44	2046	1	Gal
1184	60	2049	0	Gal
1185	67	2049	0	
1186	60	2051	2222	Gal
1187	67	2051	1	
1188	60	2052	0	Gal
1189	67	2052	0	
1190	97	2053	0	s
1191	57	2060	0	Lbs
1192	58	2061	0	Gal
1193	59	2061	450	
1194	59	2062	0	
1195	65	2062	0	
1196	58	2063	100	Gal
1197	55	2065	350	Gal
1198	57	2066	350	Lbs
1199	68	2068	4	
1200	78	2068	0	
1201	79	2069	1	
1202	80	2069	1.235	
1203	81	2069	5500	Gal
1204	82	2069	12	Brix
1205	60	2071	2000	Gal
1206	67	2071	0	
1207	44	2075	400	Gal
1208	49	2078	1	Gal
1210	48	2081	45	Lbs
1211	49	2082	1	Gal
1213	74	2089	250	Gal
1214	75	2089	400	Lbs
1215	73	2089	1999	
1216	72	2089	0	Gal
1218	44	2091	1	Gal
1219	51	2092	35	
1220	57	2092	33	Lbs
1221	48	2093	55	Lbs
1222	74	2094	0	Gal
1223	75	2094	0	Lbs
1225	76	2096	0	Gal
1226	74	2097	0	Gal
1227	75	2097	0	Lbs
1228	44	2101	1	Gal
1229	60	2104	0	Gal
1230	67	2104	0	
1231	60	2106	2222	Gal
1232	67	2106	1	
1233	60	2107	0	Gal
1234	67	2107	0	
1235	97	2108	0	s
1236	57	2115	0	Lbs
1237	58	2116	0	Gal
1238	59	2116	450	
1239	59	2117	0	
1240	65	2117	0	
1241	58	2118	100	Gal
1242	55	2120	350	Gal
1243	57	2121	350	Lbs
1244	68	2124	4	
1245	78	2124	0	
1246	79	2125	1	
1247	80	2125	1.235	
1248	81	2125	5500	Gal
1249	82	2125	12	Brix
1250	60	2127	2000	Gal
1251	67	2127	0	
1252	44	2131	400	Gal
1253	49	2134	1	Gal
